,vot,f0,dec,condition,subject,accuracy
343,4,6,0.310198,clear,42_58,0.310198
344,2,4,0.18586239,clear,43_57,0.18586239
345,2,4,0.24843024,noise,43_57,0.24843024
346,6,4,0.8230981,clear,43_57,0.18586239
347,6,4,0.76916534,noise,43_57,0.24843024
348,4,2,0.75149196,noise,43_57,0.26845273
349,4,2,0.69606555,clear,43_57,0.30952933
350,4,6,0.26845273,noise,43_57,0.26845273
351,4,6,0.30952933,clear,43_57,0.30952933
352,2,4,0.18869814,clear,44_56,0.18869814
353,2,4,0.23862334,noise,44_56,0.23862334
354,6,4,0.81428766,clear,44_56,0.18869814
355,6,4,0.76661336,noise,44_56,0.23862334
356,4,2,0.74781096,noise,44_56,0.27675614
357,4,2,0.7017587,clear,44_56,0.31177565
358,4,6,0.27675614,noise,44_56,0.27675614
359,4,6,0.31177565,clear,44_56,0.31177565
360,2,4,0.19436465,clear,45_55,0.19436465
361,2,4,0.23858596,noise,45_55,0.23858596
362,6,4,0.81690925,clear,45_55,0.19436465
363,6,4,0.78078,noise,45_55,0.23858596
364,4,2,0.7441128,noise,45_55,0.27894413
365,4,2,0.70500374,clear,45_55,0.3085148
366,4,6,0.27894413,noise,45_55,0.27894413
367,4,6,0.3085148,clear,45_55,0.3085148
368,2,4,0.19744036,clear,46_54,0.19744036
369,2,4,0.2320008,noise,46_54,0.2320008
370,6,4,0.80636764,clear,46_54,0.19744036
371,6,4,0.7766549,noise,46_54,0.2320008
372,4,2,0.7374518,noise,46_54,0.28322813
373,4,2,0.7058455,clear,46_54,0.30475405
374,4,6,0.28322813,noise,46_54,0.28322813
375,4,6,0.30475405,clear,46_54,0.30475405
376,2,4,0.20356958,clear,47_53,0.20356958
377,2,4,0.22930135,noise,47_53,0.22930135
378,6,4,0.80077153,clear,47_53,0.20356958
379,6,4,0.77816916,noise,47_53,0.22930135
380,4,2,0.7319185,noise,47_53,0.2840306
381,4,2,0.7078781,clear,47_53,0.30064127
382,4,6,0.2840306,noise,47_53,0.2840306
383,4,6,0.30064127,clear,47_53,0.30064127
